Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
-14.0,-14.0,22.9,93.0,100.0,20.0
-14.0,-14.0,22.9,86.0,100.0,17.0
-14.0,-14.0,22.9,84.0,100.0,16.0
-14.0,-14.0,22.9,85.0,100.0,19.0
-14.0,-14.0,22.9,80.0,100.0,19.0
-14.0,-14.0,22.800001,78.0,100.0,15.0
-14.0,-14.0,22.800001,81.0,100.0,15.0
-14.0,-14.0,22.800001,81.0,100.0,15.0
-14.0,-14.0,22.800001,89.0,100.0,16.0
-14.0,-14.0,22.800001,84.0,100.0,16.0
-14.0,-14.0,22.800001,83.0,100.0,16.0
-14.0,-14.0,22.800001,84.0,100.0,15.0
-14.0,-14.0,22.800001,84.0,100.0,15.0
-14.0,-14.0,22.800001,83.0,100.0,17.0
-14.0,-14.0,22.800001,78.0,99.0,18.0
-14.0,-14.0,22.800001,74.0,98.0,18.0
-14.0,-14.0,22.800001,69.0,98.0,18.0
-13.0,-13.0,22.800001,67.0,100.0,17.0
-13.0,-13.0,22.800001,69.0,100.0,17.0
-7.0,-7.0,22.9,71.0,99.0,18.0
-7.0,-7.0,22.9,72.0,99.0,21.0
-4.0,-4.0,22.9,72.0,99.0,22.0
-4.0,-4.0,22.9,71.0,100.0,19.0
-8.0,-8.0,22.9,70.0,100.0,19.0
-8.0,-8.0,22.9,71.0,100.0,17.0
-11.0,-11.0,22.9,71.0,100.0,17.0
-11.0,-11.0,22.9,73.0,100.0,17.0
-11.0,-11.0,22.9,78.0,100.0,16.0
-11.0,-11.0,22.9,84.0,100.0,18.0
-10.0,-10.0,22.9,77.0,100.0,18.0
-10.0,-10.0,22.9,74.0,100.0,27.0
-10.0,-10.0,22.9,71.0,100.0,27.0
-10.0,-10.0,22.9,75.0,100.0,28.0
-10.0,-10.0,22.9,75.0,100.0,27.0
-10.0,-10.0,23.0,76.0,100.0,31.0
-10.0,-10.0,23.0,78.0,100.0,26.0
-10.0,-10.0,23.0,81.0,100.0,25.0
-9.0,-9.0,23.0,82.0,100.0,24.0
-9.0,-9.0,23.0,82.0,100.0,25.0
-6.0,-6.0,23.0,87.0,100.0,23.0
-6.0,-6.0,23.0,80.0,100.0,24.0
-3.0,-3.0,23.0,77.0,100.0,26.0
-3.0,-3.0,23.0,82.0,100.0,25.0
-1.0,-1.0,23.0,84.0,100.0,25.0
-1.0,-1.0,23.0,84.0,100.0,25.0
-1.0,-1.0,23.0,85.0,100.0,23.0
-1.0,-1.0,23.0,90.0,100.0,22.0
-7.0,-7.0,23.0,92.0,100.0,24.0
-7.0,-7.0,23.0,90.0,100.0,25.0
-7.0,-7.0,23.0,88.0,100.0,25.0
-7.0,-7.0,23.0,84.0,100.0,26.0
-8.0,-8.0,23.0,87.0,100.0,24.0
-8.0,-8.0,23.0,92.0,100.0,21.0
-7.0,-7.0,23.0,89.0,100.0,19.0
-7.0,-7.0,23.0,85.0,100.0,18.0
-7.0,-7.0,23.0,85.0,100.0,18.0
-7.0,-7.0,23.0,88.0,100.0,18.0
-7.0,-7.0,23.0,94.0,100.0,18.0
-7.0,-7.0,23.0,100.0,100.0,18.0
-7.0,-7.0,23.0,104.0,100.0,18.0
-7.0,-7.0,23.0,105.0,100.0,17.0
-7.0,-7.0,23.0,104.0,100.0,17.0
-7.0,-7.0,23.0,102.0,100.0,17.0
-6.0,-6.0,23.0,98.0,100.0,16.0
-6.0,-6.0,23.0,92.0,100.0,14.0
-6.0,-6.0,23.0,92.0,100.0,14.0
-6.0,-6.0,23.1,82.0,100.0,11.0
-6.0,-6.0,23.1,78.0,100.0,10.0
-6.0,-6.0,23.1,77.0,100.0,10.0
-3.0,-3.0,23.1,76.0,100.0,10.0
-3.0,-3.0,23.1,76.0,100.0,10.0
-3.0,-3.0,23.1,76.0,100.0,11.0
1.0,1.0,23.1,75.0,100.0,14.0
1.0,1.0,23.1,73.0,100.0,14.0
1.0,1.0,23.1,71.0,100.0,28.0
1.0,1.0,23.1,70.0,100.0,26.0
-10.0,10.0,23.1,67.0,100.0,28.0
-30.0,20.0,23.1,66.0,100.0,107.0
-30.0,20.0,23.1,64.0,100.0,62.0
-6.0,-6.0,23.1,63.0,100.0,53.0
-6.0,-6.0,23.1,62.0,100.0,44.0
-6.0,-6.0,23.1,61.0,100.0,36.0
-6.0,-6.0,23.1,61.0,100.0,40.0
-6.0,-6.0,23.1,61.0,100.0,39.0
-28.0,40.0,23.1,61.0,100.0,31.0
-14.0,19.0,23.1,61.0,100.0,29.0
-14.0,19.0,23.1,61.0,100.0,27.0
-43.0,4.0,23.1,62.0,100.0,29.0
-12.0,22.0,23.1,63.0,100.0,27.0
2.0,9.0,23.1,63.0,100.0,32.0
-8.0,8.0,23.1,64.0,100.0,39.0
,,23.1,63.0,100.0,64.0
,,23.0,63.0,100.0,51.0
,,23.0,63.0,100.0,34.0
,,23.0,63.0,100.0,28.0
,,23.0,62.0,100.0,27.0
,,23.0,62.0,100.0,28.0
,,23.0,62.0,100.0,31.0
,,23.0,62.0,100.0,31.0
,,23.0,63.0,100.0,30.0
55.0,94.0,23.0,63.0,100.0,29.0
55.0,94.0,23.0,63.0,100.0,31.0
55.0,92.0,23.0,65.0,100.0,31.0
54.0,92.0,23.0,65.0,100.0,30.0
53.0,93.0,23.0,65.0,100.0,27.0
53.0,91.0,23.0,65.0,100.0,26.0
54.0,91.0,23.0,65.0,100.0,24.0
55.0,90.0,23.0,65.0,100.0,24.0
54.0,90.0,23.0,66.0,100.0,24.0
53.0,90.0,23.0,66.0,100.0,24.0
47.0,88.0,23.0,66.0,100.0,24.0
52.0,91.0,23.0,66.0,100.0,24.0
52.0,88.0,23.0,66.0,100.0,24.0
52.0,86.0,23.0,66.0,100.0,27.0
49.0,86.0,23.0,66.0,100.0,25.0
52.0,86.0,23.0,66.0,100.0,22.0
53.0,86.0,23.0,66.0,100.0,24.0
53.0,87.0,23.0,66.0,100.0,22.0
53.0,86.0,23.0,66.0,100.0,19.0
51.0,87.0,23.0,66.0,100.0,19.0
56.0,88.0,23.0,66.0,100.0,17.0
61.0,91.0,23.0,69.0,100.0,21.0
69.0,100.0,23.0,72.0,100.0,18.0
71.0,104.0,23.0,75.0,100.0,17.0
71.0,105.0,23.0,76.0,100.0,17.0
70.0,104.0,23.0,75.0,100.0,18.0
76.0,107.0,23.0,75.0,100.0,21.0
86.0,119.0,23.0,77.0,100.0,43.0
92.0,127.0,23.0,82.0,100.0,37.0
97.0,135.0,23.0,87.0,100.0,33.0
99.0,139.0,23.0,89.0,100.0,28.0
96.0,137.0,23.0,90.0,100.0,30.0
95.0,135.0,23.0,88.0,100.0,25.0
94.0,133.0,23.0,87.0,100.0,26.0
94.0,133.0,23.0,87.0,100.0,26.0
95.0,134.0,23.0,84.0,100.0,61.0
95.0,135.0,23.0,84.0,100.0,72.0
95.0,135.0,23.0,83.0,100.0,65.0
92.0,132.0,23.0,81.0,100.0,42.0
90.0,129.0,23.0,78.0,100.0,32.0
90.0,129.0,23.0,78.0,100.0,32.0
91.0,128.0,23.0,76.0,100.0,27.0
92.0,130.0,23.0,76.0,100.0,23.0
88.0,128.0,23.0,76.0,100.0,18.0
86.0,124.0,23.0,74.0,100.0,17.0
84.0,123.0,23.0,69.0,100.0,17.0
82.0,120.0,23.0,67.0,100.0,17.0
84.0,120.0,23.0,67.0,100.0,19.0
85.0,120.0,23.0,67.0,100.0,28.0
86.0,124.0,23.0,70.0,100.0,54.0
86.0,124.0,23.0,72.0,99.0,58.0
70.0,124.0,23.0,73.0,100.0,35.0
82.0,124.0,23.0,71.0,100.0,34.0
78.0,117.0,23.0,69.0,100.0,33.0
71.0,114.0,23.0,67.0,100.0,33.0
76.0,114.0,23.0,65.0,100.0,28.0
70.0,101.0,23.0,64.0,100.0,33.0
73.0,108.0,23.0,64.0,100.0,25.0
74.0,108.0,23.0,65.0,100.0,23.0
76.0,108.0,23.0,65.0,100.0,28.0
73.0,111.0,23.0,65.0,99.0,26.0
74.0,108.0,23.0,66.0,99.0,60.0
73.0,105.0,23.0,65.0,99.0,78.0
72.0,106.0,23.0,65.0,95.0,47.0
70.0,104.0,23.0,65.0,99.0,36.0
74.0,107.0,23.0,65.0,100.0,34.0
74.0,107.0,23.0,65.0,100.0,28.0
58.0,58.0,23.0,65.0,100.0,21.0
58.0,58.0,23.0,65.0,100.0,21.0
47.0,55.0,23.0,65.0,100.0,30.0
37.0,37.0,23.0,66.0,100.0,30.0
37.0,37.0,23.0,67.0,100.0,32.0
34.0,34.0,23.0,68.0,100.0,26.0
34.0,34.0,23.0,68.0,100.0,22.0
31.0,31.0,23.0,68.0,100.0,22.0
31.0,31.0,23.0,68.0,100.0,22.0
27.0,27.0,23.0,67.0,100.0,19.0
27.0,27.0,23.0,67.0,100.0,19.0
45.0,45.0,23.0,67.0,100.0,24.0
32.0,37.0,23.0,67.0,100.0,21.0
42.0,52.0,23.0,67.0,100.0,17.0
55.0,71.0,23.0,67.0,100.0,15.0
63.0,83.0,23.0,67.0,100.0,15.0
65.0,90.0,23.0,67.0,100.0,20.0
65.0,92.0,23.0,68.0,100.0,20.0
65.0,95.0,23.0,68.0,100.0,16.0
63.0,93.0,23.0,69.0,100.0,16.0
64.0,92.0,23.0,69.0,100.0,20.0
62.0,92.0,23.0,69.0,100.0,17.0
62.0,92.0,23.0,69.0,100.0,17.0
63.0,93.0,23.0,69.0,100.0,15.0
62.0,91.0,23.0,69.0,100.0,15.0
63.0,93.0,22.9,70.0,100.0,15.0
61.0,94.0,22.9,70.0,100.0,24.0
63.0,93.0,22.9,70.0,100.0,106.0
65.0,95.0,22.9,71.0,100.0,119.0
65.0,95.0,22.9,71.0,100.0,119.0
65.0,94.0,22.9,71.0,100.0,66.0
63.0,93.0,22.9,71.0,100.0,53.0
62.0,91.0,22.9,70.0,100.0,42.0
62.0,93.0,22.9,69.0,100.0,31.0
61.0,90.0,22.800001,69.0,100.0,27.0
60.0,87.0,22.800001,70.0,100.0,124.0
62.0,88.0,22.800001,70.0,100.0,79.0
61.0,88.0,22.800001,70.0,100.0,58.0
62.0,90.0,22.800001,70.0,100.0,39.0
61.0,88.0,22.800001,70.0,100.0,23.0
62.0,88.0,22.800001,70.0,100.0,23.0
61.0,88.0,22.800001,70.0,100.0,18.0
59.0,89.0,22.800001,70.0,100.0,48.0
59.0,92.0,22.800001,70.0,100.0,63.0
58.0,89.0,22.800001,70.0,100.0,75.0
59.0,90.0,22.800001,70.0,100.0,69.0
59.0,90.0,22.800001,77.0,100.0,46.0
60.0,90.0,22.800001,77.0,100.0,37.0
62.0,92.0,22.800001,77.0,100.0,30.0
63.0,92.0,22.800001,77.0,100.0,32.0
64.0,96.0,22.7,79.0,100.0,29.0
66.0,95.0,22.7,79.0,100.0,36.0
67.0,99.0,22.7,72.0,100.0,36.0
67.0,99.0,22.7,72.0,100.0,28.0
70.0,101.0,22.7,74.0,100.0,23.0
71.0,102.0,22.7,75.0,100.0,19.0
71.0,103.0,22.7,74.0,100.0,16.0
74.0,104.0,22.7,74.0,100.0,15.0
78.0,108.0,22.7,75.0,100.0,15.0
82.0,112.0,22.7,75.0,100.0,15.0
83.0,114.0,22.7,79.0,100.0,15.0
79.0,113.0,22.7,80.0,100.0,13.0
76.0,109.0,22.7,80.0,100.0,22.0
73.0,108.0,22.7,80.0,100.0,25.0
70.0,103.0,22.7,76.0,100.0,23.0
