Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
,,,,,
-14.0,-14.0,,,100.0,18.0
-14.0,-14.0,,,100.0,18.0
-14.0,-14.0,,66.0,100.0,16.0
-14.0,-14.0,,70.0,100.0,23.0
-14.0,-14.0,,71.0,100.0,23.0
-14.0,-14.0,,73.0,100.0,26.0
-14.0,-14.0,,72.0,100.0,37.0
-14.0,-14.0,,72.0,100.0,35.0
-14.0,-14.0,,71.0,100.0,44.0
-14.0,-14.0,,71.0,100.0,32.0
-14.0,-14.0,,69.0,100.0,27.0
-14.0,-14.0,,71.0,100.0,27.0
-14.0,-14.0,,71.0,100.0,20.0
-13.0,-13.0,,70.0,100.0,18.0
-13.0,-13.0,,69.0,100.0,24.0
-14.0,-14.0,,68.0,100.0,47.0
-14.0,-14.0,,69.0,100.0,56.0
-14.0,-14.0,,70.0,100.0,46.0
-14.0,-14.0,,71.0,100.0,44.0
-14.0,-14.0,,72.0,100.0,36.0
-14.0,-14.0,,73.0,100.0,31.0
-14.0,-14.0,,73.0,100.0,27.0
-14.0,-14.0,,71.0,100.0,30.0
-14.0,-14.0,,68.0,100.0,35.0
-14.0,-14.0,,66.0,100.0,32.0
-14.0,-14.0,,66.0,100.0,31.0
-14.0,-14.0,,71.0,100.0,31.0
-14.0,-14.0,,75.0,100.0,28.0
-14.0,-14.0,,80.0,100.0,29.0
-14.0,-14.0,,79.0,100.0,32.0
-14.0,-14.0,,79.0,100.0,32.0
-14.0,-14.0,,75.0,100.0,25.0
-14.0,-14.0,,74.0,100.0,27.0
-14.0,-14.0,,71.0,100.0,33.0
-14.0,-14.0,,69.0,100.0,39.0
-14.0,-14.0,,65.0,100.0,37.0
-14.0,-14.0,,62.0,100.0,37.0
-14.0,-14.0,,60.0,100.0,46.0
-14.0,-14.0,,59.0,100.0,39.0
-13.0,-13.0,,60.0,100.0,48.0
-13.0,-13.0,,60.0,100.0,49.0
-13.0,-13.0,,60.0,100.0,40.0
-13.0,-13.0,,60.0,100.0,32.0
-14.0,-14.0,,61.0,100.0,30.0
-14.0,-14.0,,61.0,100.0,28.0
-14.0,-14.0,,61.0,100.0,31.0
-14.0,-14.0,,61.0,100.0,29.0
-14.0,-14.0,,61.0,100.0,28.0
-14.0,-14.0,,62.0,100.0,26.0
-14.0,-14.0,,63.0,100.0,21.0
-14.0,-14.0,,63.0,100.0,21.0
-14.0,-14.0,,62.0,100.0,19.0
-14.0,-14.0,,61.0,100.0,35.0
-14.0,-14.0,,59.0,100.0,34.0
-14.0,-14.0,,57.0,100.0,34.0
-14.0,-14.0,,56.0,100.0,38.0
-14.0,-14.0,,55.0,100.0,36.0
-14.0,-14.0,,55.0,100.0,43.0
-14.0,-14.0,,54.0,100.0,35.0
-14.0,-14.0,,54.0,100.0,31.0
-14.0,-14.0,,54.0,100.0,28.0
-14.0,-14.0,,53.0,100.0,28.0
-14.0,-14.0,,53.0,100.0,26.0
-14.0,-14.0,,53.0,100.0,24.0
-14.0,-14.0,,53.0,100.0,24.0
-14.0,-14.0,,52.0,100.0,23.0
