Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
-22.0,23.0,,79.0,99.0,19.0
-23.0,17.0,,78.0,99.0,19.0
-23.0,17.0,,77.0,99.0,21.0
1.0,1.0,,75.0,99.0,21.0
-19.0,17.0,,75.0,99.0,19.0
-19.0,17.0,,75.0,99.0,19.0
-19.0,17.0,,75.0,99.0,19.0
1.0,1.0,,75.0,98.0,23.0
1.0,1.0,,76.0,98.0,23.0
0.0,0.0,,77.0,98.0,24.0
0.0,0.0,,77.0,98.0,35.0
0.0,0.0,,77.0,98.0,29.0
-1.0,2.0,,77.0,98.0,36.0
-4.0,3.0,,79.0,98.0,36.0
-2.0,4.0,,81.0,98.0,29.0
-2.0,4.0,,82.0,98.0,36.0
1.0,1.0,,84.0,98.0,40.0
1.0,1.0,,83.0,98.0,48.0
1.0,1.0,,81.0,98.0,56.0
1.0,1.0,,79.0,98.0,80.0
1.0,1.0,,78.0,98.0,77.0
1.0,1.0,,77.0,98.0,50.0
1.0,1.0,,78.0,98.0,50.0
1.0,1.0,,80.0,98.0,54.0
1.0,1.0,,81.0,98.0,47.0
1.0,1.0,,81.0,99.0,40.0
1.0,1.0,,80.0,99.0,46.0
1.0,1.0,,82.0,99.0,47.0
1.0,1.0,,82.0,99.0,48.0
1.0,1.0,,81.0,98.0,40.0
1.0,1.0,,78.0,98.0,44.0
1.0,1.0,,78.0,98.0,46.0
1.0,1.0,,78.0,98.0,44.0
1.0,1.0,,78.0,98.0,65.0
2.0,2.0,,77.0,98.0,80.0
2.0,2.0,,77.0,98.0,59.0
2.0,2.0,,77.0,98.0,54.0
2.0,2.0,,81.0,98.0,59.0
2.0,2.0,,85.0,98.0,42.0
2.0,2.0,,84.0,98.0,40.0
2.0,2.0,,82.0,98.0,30.0
2.0,2.0,,81.0,98.0,25.0
2.0,2.0,,80.0,98.0,25.0
,,,,,
2.0,2.0,,80.0,98.0,23.0
2.0,2.0,,80.0,98.0,20.0
2.0,2.0,,82.0,98.0,32.0
1.0,1.0,,81.0,98.0,24.0
1.0,1.0,,81.0,98.0,36.0
1.0,1.0,,82.0,98.0,36.0
1.0,1.0,,82.0,99.0,51.0
1.0,1.0,,81.0,99.0,46.0
1.0,1.0,,82.0,100.0,79.0
1.0,1.0,,83.0,100.0,47.0
1.0,1.0,,85.0,100.0,40.0
1.0,1.0,,84.0,100.0,32.0
1.0,1.0,,84.0,100.0,27.0
2.0,2.0,,83.0,100.0,22.0
2.0,2.0,,82.0,100.0,17.0
2.0,2.0,,81.0,100.0,16.0
2.0,2.0,,84.0,100.0,14.0
2.0,2.0,,85.0,100.0,14.0
2.0,2.0,,84.0,100.0,14.0
1.0,1.0,,84.0,100.0,13.0
1.0,1.0,,85.0,100.0,12.0
1.0,1.0,,83.0,100.0,12.0
1.0,1.0,,82.0,100.0,13.0
3.0,3.0,,83.0,100.0,18.0
3.0,3.0,,86.0,100.0,18.0
2.0,2.0,,87.0,100.0,27.0
2.0,2.0,,87.0,100.0,28.0
2.0,2.0,,86.0,100.0,29.0
-25.0,34.0,,84.0,100.0,26.0
-30.0,54.0,,82.0,100.0,25.0
-16.0,23.0,,80.0,100.0,23.0
-56.0,97.0,,79.0,100.0,23.0
-41.0,71.0,,78.0,100.0,20.0
-39.0,104.0,,78.0,100.0,21.0
-39.0,54.0,,77.0,100.0,21.0
-30.0,62.0,,76.0,100.0,20.0
,,,75.0,100.0,20.0
,,,75.0,100.0,23.0
,,,74.0,100.0,38.0
,,,75.0,100.0,49.0
-59.0,55.0,,75.0,100.0,46.0
,,,75.0,100.0,34.0
,,,75.0,100.0,31.0
,,,74.0,100.0,29.0
,,,73.0,100.0,29.0
,,,72.0,100.0,21.0
,,,72.0,100.0,21.0
-3.0,-3.0,,72.0,100.0,22.0
-19.0,13.0,,72.0,100.0,20.0
-2.0,16.0,,73.0,100.0,20.0
-51.0,68.0,,72.0,100.0,19.0
,,,72.0,100.0,22.0
,,,72.0,100.0,22.0
,,,71.0,,22.0
,,,71.0,100.0,22.0
,,,71.0,100.0,21.0
,,,71.0,100.0,21.0
54.0,100.0,,71.0,100.0,21.0
53.0,101.0,,71.0,100.0,21.0
53.0,98.0,,70.0,100.0,20.0
53.0,97.0,,69.0,100.0,20.0
53.0,98.0,,69.0,100.0,19.0
52.0,95.0,,69.0,100.0,19.0
48.0,100.0,,69.0,100.0,18.0
52.0,98.0,,69.0,100.0,18.0
52.0,96.0,,69.0,100.0,17.0
51.0,94.0,,69.0,100.0,19.0
52.0,95.0,,69.0,100.0,19.0
40.0,73.0,,69.0,100.0,18.0
6.0,98.0,,68.0,100.0,19.0
38.0,115.0,,69.0,100.0,19.0
46.0,101.0,,69.0,100.0,21.0
49.0,97.0,,69.0,100.0,21.0
54.0,84.0,,69.0,100.0,25.0
54.0,75.0,,69.0,100.0,25.0
54.0,75.0,,69.0,100.0,25.0
55.0,74.0,,69.0,100.0,29.0
38.0,104.0,,70.0,100.0,29.0
41.0,85.0,,70.0,100.0,28.0
48.0,86.0,,70.0,100.0,30.0
50.0,86.0,,70.0,100.0,24.0
51.0,86.0,,70.0,100.0,24.0
52.0,79.0,,70.0,100.0,34.0
51.0,83.0,,70.0,100.0,71.0
51.0,80.0,,70.0,100.0,69.0
51.0,81.0,,70.0,100.0,70.0
28.0,115.0,,70.0,100.0,58.0
46.0,87.0,,69.0,100.0,39.0
49.0,82.0,,69.0,100.0,33.0
49.0,83.0,,68.0,100.0,29.0
49.0,75.0,,67.0,100.0,22.0
49.0,76.0,,67.0,100.0,30.0
55.0,70.0,,68.0,100.0,73.0
52.0,73.0,,68.0,100.0,69.0
50.0,74.0,,69.0,100.0,57.0
48.0,76.0,,69.0,100.0,40.0
51.0,77.0,,70.0,100.0,47.0
52.0,82.0,,71.0,100.0,61.0
52.0,76.0,,72.0,100.0,49.0
53.0,76.0,,72.0,100.0,47.0
55.0,75.0,,72.0,100.0,59.0
55.0,72.0,,71.0,100.0,73.0
52.0,72.0,,71.0,100.0,69.0
52.0,73.0,,70.0,100.0,64.0
52.0,74.0,,70.0,100.0,47.0
52.0,75.0,,70.0,100.0,39.0
52.0,73.0,,70.0,100.0,32.0
54.0,73.0,,71.0,100.0,41.0
53.0,74.0,,71.0,100.0,72.0
55.0,75.0,,72.0,100.0,73.0
53.0,74.0,,72.0,100.0,72.0
54.0,78.0,,72.0,100.0,74.0
53.0,77.0,,71.0,100.0,70.0
55.0,76.0,,70.0,100.0,67.0
55.0,76.0,,68.0,100.0,67.0
55.0,76.0,,67.0,100.0,66.0
54.0,73.0,,66.0,100.0,66.0
51.0,73.0,,66.0,100.0,64.0
52.0,71.0,,66.0,100.0,54.0
53.0,70.0,,66.0,100.0,54.0
52.0,71.0,,65.0,100.0,45.0
55.0,71.0,,64.0,100.0,42.0
58.0,70.0,,64.0,100.0,49.0
59.0,68.0,,64.0,100.0,48.0
56.0,70.0,,64.0,100.0,52.0
59.0,67.0,,64.0,100.0,42.0
58.0,64.0,,64.0,100.0,42.0
58.0,64.0,,64.0,100.0,37.0
57.0,64.0,,65.0,100.0,28.0
56.0,62.0,,65.0,100.0,28.0
53.0,62.0,,65.0,100.0,21.0
53.0,60.0,,65.0,100.0,21.0
36.0,68.0,,65.0,100.0,19.0
42.0,59.0,,66.0,100.0,20.0
40.0,66.0,,66.0,100.0,32.0
46.0,63.0,,66.0,100.0,72.0
51.0,60.0,,66.0,100.0,62.0
53.0,61.0,,67.0,100.0,45.0
53.0,61.0,,67.0,100.0,37.0
52.0,59.0,,67.0,100.0,35.0
52.0,60.0,,66.0,100.0,26.0
51.0,58.0,,66.0,100.0,23.0
51.0,59.0,,66.0,100.0,22.0
47.0,61.0,,66.0,100.0,25.0
50.0,58.0,,67.0,100.0,46.0
51.0,59.0,,67.0,100.0,66.0
51.0,60.0,,68.0,100.0,67.0
47.0,63.0,,68.0,100.0,67.0
48.0,61.0,,68.0,100.0,69.0
51.0,61.0,,68.0,100.0,68.0
49.0,60.0,,68.0,100.0,53.0
50.0,61.0,,67.0,100.0,53.0
51.0,58.0,,67.0,100.0,66.0
51.0,59.0,,67.0,100.0,67.0
50.0,59.0,,67.0,100.0,70.0
50.0,58.0,,67.0,100.0,67.0
49.0,59.0,,67.0,100.0,72.0
50.0,58.0,,68.0,100.0,66.0
51.0,58.0,,68.0,100.0,67.0
50.0,58.0,,69.0,100.0,68.0
52.0,59.0,,70.0,100.0,72.0
53.0,60.0,,72.0,100.0,73.0
53.0,61.0,,73.0,100.0,67.0
56.0,62.0,,73.0,100.0,60.0
46.0,63.0,,74.0,100.0,77.0
50.0,66.0,,75.0,100.0,75.0
55.0,64.0,,77.0,100.0,79.0
59.0,65.0,,79.0,100.0,71.0
63.0,68.0,,82.0,100.0,54.0
66.0,71.0,,86.0,100.0,57.0
70.0,75.0,,89.0,100.0,72.0
70.0,76.0,,91.0,100.0,93.0
73.0,78.0,,93.0,100.0,93.0
75.0,81.0,,95.0,100.0,97.0
77.0,82.0,,97.0,100.0,73.0
80.0,85.0,,98.0,100.0,48.0
79.0,84.0,,99.0,100.0,43.0
82.0,87.0,,100.0,100.0,36.0
81.0,88.0,,100.0,100.0,50.0
81.0,88.0,,101.0,100.0,98.0
82.0,89.0,,101.0,100.0,58.0
81.0,87.0,,101.0,100.0,53.0
83.0,90.0,,101.0,100.0,61.0
83.0,92.0,,101.0,100.0,45.0
83.0,91.0,,100.0,100.0,36.0
84.0,92.0,,100.0,100.0,33.0
81.0,88.0,,100.0,100.0,26.0
82.0,90.0,,100.0,100.0,30.0
81.0,90.0,,99.0,100.0,65.0
81.0,88.0,,98.0,100.0,62.0
83.0,90.0,,98.0,100.0,49.0
82.0,88.0,,98.0,100.0,44.0
85.0,91.0,,98.0,100.0,32.0
86.0,91.0,,98.0,100.0,49.0
87.0,91.0,,98.0,100.0,81.0
90.0,94.0,,99.0,100.0,59.0
81.0,102.0,,99.0,100.0,75.0
80.0,98.0,,100.0,100.0,58.0
50.0,144.0,,100.0,100.0,49.0
50.0,144.0,,100.0,100.0,66.0
79.0,115.0,,99.0,100.0,66.0
91.0,100.0,,99.0,100.0,45.0
79.0,102.0,,99.0,100.0,47.0
87.0,99.0,,98.0,100.0,41.0
91.0,98.0,,98.0,100.0,33.0
90.0,98.0,,97.0,100.0,40.0
89.0,97.0,,96.0,100.0,77.0
90.0,96.0,,95.0,100.0,79.0
89.0,98.0,,94.0,100.0,62.0
89.0,96.0,,94.0,100.0,42.0
86.0,97.0,,93.0,100.0,40.0
85.0,94.0,,92.0,100.0,37.0
87.0,93.0,,91.0,100.0,39.0
85.0,92.0,,90.0,100.0,41.0
83.0,90.0,,89.0,100.0,88.0
84.0,90.0,,88.0,100.0,67.0
82.0,88.0,,87.0,100.0,60.0
82.0,88.0,,87.0,100.0,67.0
82.0,87.0,,86.0,100.0,55.0
81.0,86.0,,85.0,100.0,55.0
82.0,87.0,,85.0,100.0,48.0
80.0,86.0,,84.0,100.0,86.0
80.0,86.0,,84.0,100.0,54.0
79.0,88.0,,83.0,100.0,54.0
67.0,95.0,,83.0,100.0,52.0
66.0,97.0,,83.0,100.0,56.0
66.0,98.0,,83.0,100.0,68.0
68.0,95.0,,83.0,100.0,53.0
68.0,93.0,,82.0,100.0,41.0
68.0,92.0,,82.0,100.0,40.0
68.0,92.0,,81.0,100.0,32.0
66.0,89.0,,80.0,100.0,44.0
65.0,89.0,,79.0,100.0,38.0
65.0,88.0,,78.0,100.0,51.0
63.0,88.0,,78.0,100.0,64.0
64.0,91.0,,78.0,100.0,64.0
64.0,88.0,,79.0,100.0,63.0
71.0,88.0,,79.0,100.0,65.0
69.0,86.0,,79.0,100.0,51.0
66.0,84.0,,78.0,100.0,66.0
61.0,94.0,,78.0,100.0,94.0
70.0,91.0,,78.0,100.0,65.0
61.0,88.0,,78.0,100.0,40.0
71.0,87.0,,78.0,100.0,46.0
71.0,93.0,,78.0,100.0,41.0
78.0,85.0,,77.0,100.0,59.0
74.0,84.0,,77.0,100.0,81.0
71.0,83.0,,76.0,100.0,60.0
313.0,88.0,,76.0,100.0,59.0
,,33.600002,75.0,100.0,77.0
,,33.9,75.0,100.0,58.0
,,34.100002,75.0,100.0,49.0
,,34.2,74.0,100.0,54.0
,,34.4,74.0,100.0,48.0
,,34.5,73.0,100.0,50.0
,,34.600002,73.0,100.0,55.0
,,34.600002,72.0,100.0,54.0
,,34.8,71.0,100.0,50.0
,,34.9,70.0,100.0,58.0
,,34.9,69.0,100.0,75.0
,,35.0,68.0,100.0,52.0
,,35.100002,68.0,100.0,46.0
,,35.100002,68.0,100.0,52.0
,,35.2,68.0,100.0,55.0
,,35.2,68.0,100.0,73.0
,,35.3,68.0,100.0,59.0
,,35.3,68.0,100.0,46.0
,,35.3,67.0,100.0,48.0
,,35.4,67.0,100.0,69.0
,,35.4,67.0,100.0,68.0
,,35.4,66.0,100.0,50.0
,,35.4,66.0,100.0,52.0
,,35.5,66.0,100.0,61.0
50.0,92.0,35.5,66.0,100.0,53.0
46.0,92.0,35.5,66.0,100.0,57.0
46.0,92.0,35.600002,66.0,100.0,70.0
48.0,95.0,35.600002,66.0,100.0,80.0
54.0,95.0,35.600002,66.0,100.0,130.0
,,35.600002,67.0,100.0,100.0
,,35.600002,67.0,100.0,91.0
,,35.7,68.0,100.0,59.0
,,35.7,68.0,100.0,123.0
