Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
-7.0,-7.0,,72.0,100.0,21.0
-7.0,-7.0,,64.0,100.0,19.0
-7.0,-7.0,,64.0,100.0,17.0
-7.0,-7.0,,64.0,100.0,15.0
-7.0,-7.0,,64.0,100.0,14.0
-7.0,-7.0,,64.0,100.0,14.0
-8.0,-8.0,,64.0,100.0,13.0
-8.0,-8.0,,63.0,100.0,13.0
-7.0,-7.0,,64.0,100.0,13.0
-7.0,-7.0,,64.0,100.0,14.0
-7.0,-7.0,,64.0,100.0,17.0
-7.0,-7.0,,64.0,100.0,17.0
-7.0,-7.0,,65.0,100.0,19.0
-7.0,-7.0,,67.0,100.0,19.0
-7.0,-7.0,,66.0,100.0,17.0
-7.0,-7.0,,65.0,100.0,16.0
-7.0,-7.0,,64.0,100.0,16.0
-7.0,-7.0,,63.0,100.0,15.0
-8.0,-8.0,,64.0,100.0,15.0
-8.0,-8.0,,65.0,100.0,15.0
-7.0,-7.0,,65.0,100.0,16.0
-7.0,-7.0,,65.0,100.0,17.0
-7.0,-7.0,,65.0,100.0,22.0
-7.0,-7.0,,65.0,100.0,22.0
-7.0,-7.0,,65.0,100.0,22.0
-7.0,-7.0,,66.0,100.0,19.0
-7.0,-7.0,,67.0,100.0,19.0
-7.0,-7.0,,67.0,100.0,19.0
-7.0,-7.0,,68.0,100.0,17.0
-7.0,-7.0,,66.0,100.0,17.0
-8.0,-8.0,,66.0,100.0,16.0
-8.0,-5.0,,66.0,100.0,16.0
-10.0,-4.0,,66.0,100.0,16.0
-10.0,-4.0,,67.0,100.0,16.0
-10.0,-4.0,,67.0,100.0,16.0
-6.0,-6.0,,67.0,100.0,16.0
-7.0,-7.0,,67.0,100.0,16.0
-7.0,-7.0,,66.0,100.0,16.0
-7.0,-7.0,,65.0,100.0,14.0
-7.0,-7.0,,65.0,100.0,13.0
-7.0,-7.0,,66.0,100.0,13.0
-7.0,-7.0,,67.0,100.0,14.0
-8.0,-8.0,,66.0,100.0,14.0
-8.0,-8.0,,66.0,100.0,14.0
-7.0,-7.0,,66.0,100.0,13.0
-7.0,-7.0,,66.0,100.0,13.0
-6.0,-6.0,,67.0,100.0,13.0
-6.0,-6.0,,68.0,100.0,13.0
-7.0,-7.0,,68.0,100.0,14.0
-7.0,-7.0,,68.0,100.0,14.0
-9.0,-6.0,,67.0,100.0,13.0
-9.0,-6.0,,67.0,100.0,13.0
-8.0,-8.0,,67.0,99.0,16.0
-8.0,-8.0,,68.0,100.0,16.0
-8.0,-8.0,,68.0,100.0,14.0
-8.0,-8.0,,70.0,100.0,13.0
-6.0,-6.0,,70.0,100.0,12.0
-6.0,-6.0,,68.0,100.0,12.0
-6.0,-6.0,,66.0,100.0,11.0
-6.0,-6.0,,67.0,100.0,12.0
-7.0,-7.0,,68.0,100.0,12.0
-7.0,-7.0,,69.0,100.0,12.0
-7.0,-7.0,,69.0,99.0,12.0
-7.0,-7.0,,69.0,100.0,17.0
-8.0,-8.0,,69.0,100.0,17.0
-8.0,-8.0,,68.0,100.0,18.0
-8.0,-8.0,,68.0,100.0,18.0
-8.0,-8.0,,68.0,100.0,21.0
-7.0,-7.0,,68.0,100.0,21.0
-7.0,-7.0,,68.0,100.0,19.0
-6.0,-6.0,,67.0,100.0,19.0
-6.0,-6.0,,68.0,100.0,22.0
-7.0,-7.0,,69.0,100.0,21.0
-7.0,-7.0,,72.0,100.0,19.0
-7.0,-7.0,,72.0,100.0,16.0
-7.0,-7.0,,74.0,100.0,14.0
-8.0,-8.0,,71.0,100.0,14.0
-8.0,-8.0,,69.0,100.0,14.0
-8.0,-8.0,,68.0,100.0,14.0
-8.0,-8.0,,66.0,100.0,14.0
-7.0,-7.0,,66.0,100.0,12.0
-7.0,-7.0,,65.0,100.0,12.0
-6.0,-6.0,,65.0,100.0,11.0
-6.0,-6.0,,66.0,100.0,11.0
-7.0,-7.0,,65.0,100.0,13.0
-7.0,-7.0,,65.0,100.0,13.0
-8.0,-8.0,,65.0,100.0,14.0
-8.0,-8.0,,65.0,100.0,23.0
-7.0,-7.0,,67.0,100.0,29.0
-7.0,-7.0,,66.0,100.0,35.0
-8.0,-8.0,,67.0,100.0,29.0
-9.0,-7.0,,67.0,100.0,25.0
-9.0,-7.0,,122.0,100.0,23.0
-7.0,-7.0,,107.0,100.0,22.0
-7.0,-7.0,,83.0,100.0,21.0
-7.0,-7.0,,68.0,100.0,19.0
-7.0,-7.0,,67.0,100.0,21.0
-7.0,-7.0,,67.0,100.0,24.0
-7.0,-7.0,,66.0,100.0,23.0
-8.0,-8.0,,66.0,100.0,22.0
-8.0,-8.0,,66.0,100.0,22.0
-8.0,-8.0,,66.0,100.0,18.0
-8.0,-8.0,,67.0,100.0,18.0
-6.0,-6.0,,67.0,100.0,15.0
-6.0,-6.0,,66.0,100.0,15.0
-7.0,-7.0,,66.0,100.0,16.0
-7.0,-7.0,,66.0,100.0,18.0
-7.0,-7.0,,67.0,100.0,18.0
-7.0,-7.0,,66.0,100.0,18.0
-8.0,-8.0,,66.0,100.0,18.0
-8.0,-8.0,,65.0,100.0,16.0
-8.0,-8.0,,66.0,100.0,14.0
-8.0,-8.0,,68.0,100.0,14.0
-8.0,-8.0,,70.0,100.0,14.0
-8.0,-8.0,,71.0,100.0,11.0
-9.0,-7.0,,70.0,100.0,11.0
-9.0,-7.0,,69.0,100.0,10.0
-7.0,-7.0,,67.0,100.0,10.0
-7.0,-7.0,,66.0,100.0,9.0
-7.0,-7.0,,64.0,100.0,9.0
-7.0,-7.0,,62.0,100.0,9.0
-7.0,-7.0,,60.0,100.0,9.0
