Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
-4.0,-4.0,,78.0,98.0,17.0
-4.0,-4.0,,77.0,99.0,20.0
-4.0,-4.0,,78.0,99.0,20.0
-4.0,-4.0,,78.0,99.0,19.0
-3.0,-3.0,,78.0,99.0,17.0
-3.0,-3.0,,78.0,98.0,15.0
-3.0,-3.0,,78.0,98.0,15.0
-3.0,-3.0,,79.0,99.0,15.0
-4.0,-4.0,,79.0,98.0,15.0
-4.0,-4.0,,78.0,99.0,14.0
-4.0,-4.0,,78.0,99.0,14.0
-4.0,-4.0,,77.0,99.0,14.0
-4.0,-4.0,,76.0,98.0,14.0
-4.0,-4.0,,76.0,98.0,17.0
-3.0,-3.0,,78.0,98.0,17.0
-3.0,-3.0,,79.0,99.0,16.0
-3.0,-3.0,,80.0,99.0,16.0
-3.0,-3.0,,79.0,99.0,15.0
-3.0,-3.0,,78.0,99.0,16.0
-3.0,-3.0,,77.0,99.0,16.0
-3.0,-3.0,,77.0,99.0,16.0
-3.0,-3.0,,76.0,99.0,19.0
-3.0,-3.0,,75.0,98.0,19.0
-3.0,-3.0,,75.0,98.0,19.0
-3.0,-3.0,,76.0,98.0,19.0
-3.0,-3.0,,76.0,98.0,18.0
-3.0,-3.0,,76.0,98.0,19.0
-4.0,-4.0,,76.0,98.0,19.0
-4.0,-4.0,,76.0,98.0,19.0
-4.0,-4.0,,76.0,98.0,18.0
-4.0,-4.0,,76.0,99.0,18.0
-4.0,-4.0,,77.0,99.0,18.0
-4.0,-4.0,,77.0,99.0,18.0
-4.0,-4.0,,76.0,99.0,17.0
-4.0,-4.0,,76.0,98.0,17.0
-4.0,-4.0,,76.0,98.0,17.0
-4.0,-4.0,,76.0,98.0,17.0
-4.0,-4.0,,77.0,98.0,17.0
-4.0,-4.0,,77.0,98.0,17.0
-4.0,-4.0,,77.0,98.0,17.0
-4.0,-4.0,,78.0,99.0,17.0
-4.0,-4.0,,78.0,99.0,17.0
-4.0,-4.0,,79.0,99.0,17.0
-4.0,-4.0,,79.0,99.0,17.0
-4.0,-4.0,,79.0,99.0,17.0
-4.0,-4.0,,79.0,99.0,16.0
-4.0,-4.0,,79.0,98.0,16.0
-4.0,-4.0,,80.0,98.0,15.0
-4.0,-4.0,,81.0,98.0,14.0
-4.0,-4.0,,81.0,99.0,14.0
-4.0,-4.0,,80.0,99.0,14.0
-4.0,-4.0,,79.0,99.0,14.0
-4.0,-4.0,,79.0,99.0,14.0
-4.0,-4.0,,79.0,99.0,14.0
-4.0,-4.0,,79.0,99.0,14.0
-4.0,-4.0,,80.0,99.0,17.0
-4.0,-4.0,,80.0,98.0,17.0
-4.0,-4.0,,80.0,98.0,16.0
-4.0,-4.0,,79.0,98.0,16.0
-4.0,-4.0,,79.0,98.0,16.0
-4.0,-4.0,,79.0,98.0,16.0
-4.0,-4.0,,79.0,98.0,17.0
-4.0,-4.0,,79.0,98.0,17.0
-4.0,-4.0,,78.0,98.0,17.0
-4.0,-4.0,,77.0,98.0,17.0
-4.0,-4.0,,77.0,98.0,17.0
-4.0,-4.0,,77.0,98.0,17.0
-4.0,-4.0,,77.0,99.0,17.0
-4.0,-4.0,,77.0,98.0,15.0
-4.0,-4.0,,77.0,98.0,15.0
-4.0,-4.0,,75.0,98.0,16.0
-4.0,-4.0,,76.0,98.0,15.0
-4.0,-4.0,,78.0,97.0,13.0
-4.0,-4.0,,80.0,97.0,13.0
-4.0,-4.0,,80.0,96.0,13.0
-4.0,-4.0,,80.0,96.0,13.0
-4.0,-4.0,,78.0,96.0,14.0
-4.0,-4.0,,77.0,96.0,14.0
-4.0,-4.0,,76.0,96.0,14.0
-5.0,-5.0,,77.0,96.0,18.0
-5.0,-5.0,,77.0,98.0,18.0
-5.0,-5.0,,77.0,98.0,18.0
-5.0,-5.0,,76.0,98.0,18.0
-5.0,-5.0,,75.0,98.0,18.0
-5.0,-5.0,,75.0,98.0,18.0
-5.0,-5.0,,75.0,98.0,18.0
-5.0,-5.0,,76.0,98.0,18.0
-5.0,-5.0,,77.0,98.0,18.0
-5.0,-5.0,,77.0,98.0,18.0
-5.0,-5.0,,77.0,99.0,18.0
-5.0,-5.0,,76.0,99.0,18.0
-6.0,-6.0,,76.0,99.0,19.0
-6.0,-6.0,,76.0,99.0,18.0
-6.0,-6.0,,76.0,99.0,18.0
-6.0,-6.0,,76.0,99.0,17.0
-6.0,-6.0,,76.0,99.0,17.0
-6.0,-6.0,,76.0,99.0,17.0
-5.0,-5.0,,77.0,99.0,17.0
-5.0,-5.0,,76.0,99.0,17.0
-6.0,-6.0,,76.0,99.0,17.0
-6.0,-6.0,,76.0,99.0,17.0
-6.0,-6.0,,75.0,99.0,17.0
-6.0,-6.0,,75.0,99.0,17.0
-6.0,-6.0,,76.0,99.0,17.0
-6.0,-6.0,,77.0,99.0,17.0
-6.0,-6.0,,77.0,99.0,17.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,77.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,16.0
-6.0,-6.0,,76.0,99.0,18.0
-7.0,-7.0,,76.0,99.0,18.0
-7.0,-7.0,,76.0,99.0,18.0
-7.0,-7.0,,76.0,99.0,18.0
-7.0,-7.0,,78.0,99.0,18.0
-7.0,-7.0,,78.0,99.0,18.0
-7.0,-7.0,,79.0,99.0,18.0
-7.0,-7.0,,78.0,99.0,18.0
-7.0,-7.0,,78.0,99.0,18.0
-7.0,-7.0,,78.0,99.0,18.0
-7.0,-7.0,,77.0,99.0,19.0
-7.0,-7.0,,77.0,99.0,19.0
-7.0,-7.0,,77.0,99.0,18.0
-7.0,-7.0,,77.0,99.0,16.0
-7.0,-7.0,,76.0,99.0,16.0
-7.0,-7.0,,75.0,99.0,15.0
-7.0,-7.0,,75.0,98.0,13.0
-7.0,-7.0,,76.0,98.0,14.0
-7.0,-7.0,,76.0,98.0,14.0
-8.0,-8.0,,76.0,98.0,13.0
-8.0,-8.0,,75.0,98.0,15.0
-8.0,-8.0,,75.0,98.0,15.0
-8.0,-8.0,,76.0,98.0,19.0
-7.0,-7.0,,77.0,99.0,20.0
-7.0,-7.0,,77.0,99.0,20.0
-7.0,-7.0,,77.0,99.0,22.0
-7.0,-7.0,,76.0,99.0,21.0
-8.0,-8.0,,77.0,99.0,21.0
-8.0,-8.0,,78.0,99.0,21.0
-7.0,-7.0,,80.0,99.0,21.0
-7.0,-7.0,,80.0,99.0,21.0
-7.0,-7.0,,80.0,99.0,22.0
-7.0,-7.0,,78.0,99.0,23.0
-8.0,-8.0,,78.0,99.0,23.0
-8.0,-8.0,,78.0,99.0,21.0
-8.0,-8.0,,78.0,99.0,20.0
-8.0,-8.0,,78.0,99.0,20.0
-8.0,-8.0,,77.0,99.0,20.0
-8.0,-8.0,,77.0,99.0,18.0
-8.0,-8.0,,77.0,99.0,18.0
-8.0,-8.0,,77.0,99.0,18.0
-8.0,-8.0,,77.0,99.0,18.0
-8.0,-8.0,,77.0,99.0,20.0
-8.0,-8.0,,77.0,99.0,20.0
-8.0,-8.0,,78.0,99.0,22.0
-8.0,-8.0,,78.0,99.0,22.0
-8.0,-8.0,,78.0,99.0,21.0
-8.0,-8.0,,78.0,99.0,20.0
-8.0,-8.0,,78.0,99.0,20.0
-8.0,-8.0,,78.0,99.0,17.0
-8.0,-8.0,,79.0,100.0,17.0
-8.0,-8.0,,79.0,100.0,17.0
-8.0,-8.0,,79.0,100.0,19.0
-8.0,-8.0,,78.0,100.0,19.0
-8.0,-8.0,,78.0,100.0,19.0
-8.0,-8.0,,78.0,99.0,20.0
-8.0,-8.0,,79.0,99.0,22.0
-9.0,-9.0,,79.0,99.0,22.0
-9.0,-9.0,,79.0,99.0,19.0
-9.0,-9.0,,79.0,99.0,19.0
-9.0,-9.0,,79.0,99.0,19.0
-10.0,-10.0,,77.0,99.0,19.0
-10.0,-10.0,,76.0,99.0,19.0
-9.0,-9.0,,75.0,100.0,18.0
-9.0,-9.0,,75.0,100.0,18.0
-9.0,-9.0,,74.0,100.0,19.0
-9.0,-9.0,,74.0,100.0,19.0
-9.0,-9.0,,74.0,100.0,19.0
-9.0,-9.0,,75.0,99.0,19.0
-9.0,-9.0,,74.0,99.0,19.0
-9.0,-9.0,,74.0,100.0,18.0
-9.0,-9.0,,74.0,100.0,18.0
-9.0,-9.0,,75.0,100.0,18.0
-9.0,-9.0,,75.0,100.0,16.0
-9.0,-9.0,,77.0,100.0,14.0
-9.0,-9.0,,77.0,100.0,14.0
-9.0,-9.0,,75.0,99.0,14.0
