Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
-6.0,-6.0,,73.0,84.0,27.0
-6.0,-6.0,,71.0,83.0,19.0
-7.0,-7.0,,71.0,83.0,16.0
-7.0,-7.0,,72.0,79.0,14.0
-7.0,-7.0,,72.0,79.0,13.0
-7.0,-7.0,,72.0,79.0,12.0
-7.0,-7.0,,73.0,79.0,12.0
-7.0,-7.0,,73.0,79.0,11.0
-6.0,-6.0,,73.0,85.0,11.0
-6.0,-6.0,,73.0,85.0,11.0
-6.0,-6.0,,72.0,88.0,10.0
-8.0,-4.0,,72.0,100.0,18.0
-8.0,-5.0,,72.0,100.0,18.0
-8.0,-5.0,,71.0,100.0,20.0
-6.0,-6.0,,71.0,100.0,23.0
-6.0,-6.0,,72.0,95.0,23.0
-8.0,-5.0,,73.0,95.0,22.0
-8.0,-5.0,,73.0,87.0,24.0
-7.0,-7.0,,73.0,87.0,24.0
-7.0,-7.0,,72.0,82.0,30.0
-7.0,-7.0,,72.0,93.0,31.0
-7.0,-7.0,,73.0,100.0,38.0
-7.0,-7.0,,73.0,100.0,57.0
-7.0,-7.0,,74.0,100.0,44.0
-6.0,-6.0,,74.0,100.0,37.0
-6.0,-6.0,,74.0,100.0,30.0
-7.0,-7.0,,74.0,100.0,26.0
-7.0,-7.0,,73.0,99.0,30.0
-7.0,-7.0,,71.0,98.0,28.0
-7.0,-7.0,,70.0,100.0,25.0
-9.0,-2.0,,70.0,100.0,33.0
-9.0,-2.0,,71.0,100.0,30.0
-7.0,-7.0,,71.0,100.0,25.0
-7.0,-7.0,,72.0,94.0,32.0
-7.0,-7.0,,72.0,94.0,25.0
-11.0,-2.0,,72.0,96.0,24.0
-9.0,-5.0,,73.0,,27.0
-9.0,-5.0,,73.0,97.0,44.0
-6.0,-6.0,,73.0,100.0,40.0
-6.0,-6.0,,73.0,100.0,35.0
-6.0,-6.0,,72.0,100.0,31.0
-6.0,-6.0,,72.0,100.0,27.0
-6.0,-6.0,,73.0,100.0,35.0
-6.0,-6.0,,74.0,100.0,111.0
-6.0,-6.0,,74.0,100.0,94.0
-6.0,-6.0,,74.0,100.0,64.0
-6.0,-6.0,,73.0,100.0,36.0
-6.0,-6.0,,73.0,100.0,29.0
-7.0,-7.0,,73.0,100.0,24.0
-9.0,-6.0,,73.0,100.0,23.0
-9.0,-6.0,,73.0,100.0,20.0
-6.0,-6.0,,73.0,100.0,17.0
-6.0,-6.0,,72.0,100.0,17.0
-6.0,-6.0,,72.0,100.0,32.0
-6.0,-6.0,,72.0,100.0,47.0
-7.0,-7.0,,72.0,100.0,43.0
-7.0,-7.0,,73.0,100.0,34.0
-7.0,-7.0,,74.0,100.0,33.0
-7.0,-7.0,,74.0,100.0,24.0
-7.0,-7.0,,74.0,100.0,22.0
-7.0,-7.0,,74.0,100.0,28.0
-7.0,-7.0,,75.0,100.0,51.0
-7.0,-7.0,,76.0,100.0,51.0
-8.0,-8.0,,77.0,100.0,41.0
-8.0,-8.0,,76.0,100.0,31.0
-7.0,-7.0,,76.0,100.0,26.0
-7.0,-7.0,,75.0,100.0,26.0
-6.0,-6.0,,75.0,100.0,20.0
-6.0,-6.0,,75.0,100.0,32.0
-7.0,-7.0,,75.0,100.0,34.0
-7.0,-7.0,,76.0,100.0,33.0
-7.0,-7.0,,75.0,100.0,36.0
-6.0,-6.0,,75.0,100.0,27.0
-6.0,-6.0,,74.0,100.0,26.0
-6.0,-6.0,,74.0,100.0,28.0
-6.0,-6.0,,74.0,100.0,29.0
-6.0,-6.0,,73.0,100.0,49.0
-6.0,-6.0,,73.0,100.0,64.0
-7.0,-7.0,,72.0,100.0,65.0
-7.0,-7.0,,71.0,100.0,44.0
-7.0,-7.0,,71.0,100.0,33.0
-7.0,-7.0,,72.0,100.0,24.0
-6.0,-6.0,,74.0,100.0,20.0
-6.0,-6.0,,75.0,100.0,18.0
-7.0,-7.0,,75.0,100.0,18.0
-7.0,-7.0,,73.0,100.0,14.0
-7.0,-7.0,,71.0,100.0,14.0
-7.0,-7.0,,71.0,100.0,15.0
-7.0,-7.0,,72.0,100.0,15.0
-7.0,-7.0,,73.0,100.0,18.0
-7.0,-7.0,,72.0,100.0,24.0
-7.0,-7.0,,72.0,100.0,24.0
-7.0,-7.0,,71.0,100.0,31.0
-15.0,-2.0,,70.0,100.0,34.0
-43.0,8.0,,71.0,100.0,32.0
-43.0,8.0,,72.0,100.0,29.0
-6.0,-6.0,,73.0,100.0,27.0
-6.0,-6.0,,73.0,100.0,26.0
-6.0,-6.0,,73.0,100.0,21.0
-6.0,-6.0,,73.0,100.0,24.0
-6.0,-6.0,,73.0,100.0,27.0
-6.0,-6.0,,73.0,100.0,20.0
-7.0,-7.0,,73.0,100.0,19.0
-7.0,-7.0,,73.0,100.0,24.0
-7.0,-7.0,,72.0,100.0,23.0
