Solar8000/ART_DBP,Solar8000/ART_SBP,Solar8000/BT,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/RR
,,,,,
15.0,15.0,,105.0,98.0,
15.0,15.0,,104.0,98.0,
15.0,15.0,,105.0,97.0,
15.0,15.0,,106.0,97.0,25.0
,,,,,
15.0,15.0,,106.0,97.0,26.0
15.0,15.0,,107.0,97.0,26.0
15.0,15.0,,110.0,97.0,25.0
15.0,15.0,,111.0,97.0,23.0
15.0,15.0,,111.0,97.0,22.0
15.0,15.0,,108.0,97.0,20.0
15.0,15.0,,107.0,97.0,19.0
15.0,15.0,,107.0,97.0,24.0
15.0,15.0,,110.0,97.0,24.0
15.0,15.0,,112.0,98.0,28.0
16.0,16.0,,110.0,98.0,27.0
16.0,16.0,,108.0,98.0,30.0
16.0,16.0,,112.0,98.0,26.0
16.0,16.0,,113.0,98.0,27.0
16.0,16.0,,111.0,97.0,26.0
16.0,16.0,,110.0,97.0,26.0
16.0,16.0,,110.0,98.0,23.0
16.0,16.0,,110.0,98.0,20.0
16.0,16.0,,107.0,98.0,20.0
16.0,16.0,,107.0,98.0,21.0
16.0,16.0,,107.0,98.0,22.0
16.0,16.0,,105.0,98.0,22.0
17.0,17.0,,105.0,98.0,25.0
17.0,17.0,,106.0,98.0,25.0
16.0,16.0,,108.0,98.0,25.0
16.0,16.0,,107.0,98.0,23.0
16.0,16.0,,106.0,98.0,22.0
16.0,16.0,,104.0,98.0,22.0
17.0,17.0,,105.0,98.0,22.0
17.0,17.0,,107.0,98.0,24.0
16.0,16.0,,107.0,98.0,26.0
16.0,16.0,,106.0,98.0,26.0
17.0,17.0,,105.0,98.0,24.0
17.0,17.0,,106.0,97.0,24.0
17.0,17.0,,107.0,97.0,23.0
17.0,17.0,,108.0,97.0,23.0
17.0,17.0,,107.0,97.0,23.0
17.0,17.0,,105.0,97.0,23.0
17.0,17.0,,104.0,98.0,24.0
17.0,17.0,,103.0,98.0,23.0
17.0,17.0,,103.0,98.0,23.0
17.0,17.0,,103.0,98.0,23.0
16.0,16.0,,103.0,98.0,22.0
16.0,16.0,,103.0,98.0,22.0
16.0,16.0,,105.0,97.0,23.0
16.0,16.0,,106.0,97.0,23.0
16.0,16.0,,105.0,97.0,23.0
16.0,16.0,,105.0,97.0,27.0
16.0,16.0,,109.0,97.0,36.0
16.0,16.0,,115.0,97.0,34.0
16.0,16.0,,116.0,97.0,31.0
16.0,16.0,,113.0,97.0,27.0
16.0,16.0,,111.0,97.0,27.0
15.0,15.0,,109.0,97.0,23.0
15.0,15.0,,108.0,97.0,23.0
15.0,15.0,,108.0,98.0,25.0
15.0,15.0,,109.0,98.0,25.0
14.0,14.0,,110.0,99.0,26.0
14.0,14.0,,110.0,99.0,26.0
14.0,14.0,,110.0,99.0,23.0
14.0,14.0,,110.0,98.0,20.0
13.0,13.0,,126.0,98.0,22.0
13.0,13.0,,134.0,98.0,27.0
14.0,14.0,,117.0,98.0,38.0
14.0,14.0,,106.0,98.0,34.0
14.0,14.0,,95.0,98.0,28.0
14.0,14.0,,92.0,99.0,27.0
14.0,14.0,,97.0,99.0,24.0
14.0,14.0,,98.0,99.0,20.0
14.0,14.0,,98.0,99.0,21.0
66.0,32.0,,99.0,99.0,21.0
66.0,32.0,,101.0,99.0,22.0
66.0,32.0,,105.0,99.0,19.0
14.0,14.0,,107.0,99.0,19.0
13.0,13.0,,107.0,99.0,18.0
13.0,13.0,,107.0,98.0,17.0
10.0,15.0,,107.0,98.0,17.0
12.0,12.0,,108.0,98.0,17.0
12.0,12.0,,108.0,98.0,19.0
12.0,12.0,,107.0,98.0,19.0
12.0,12.0,,106.0,99.0,22.0
11.0,11.0,,105.0,99.0,23.0
11.0,11.0,,105.0,99.0,25.0
11.0,11.0,,106.0,99.0,26.0
11.0,11.0,,108.0,99.0,27.0
11.0,11.0,,111.0,99.0,24.0
